timestamp,Pitch,Roll,Yaw,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,quat_w,quat_x,quat_y,quat_z
7032,-0.045601413,86.006935,161.21526,-0.29012975,9.583853,-0.5198407,-0.02367103,-0.013744468,0.02855795,-0.24264622,-0.96479833,-0.1014247,0.11907842,0.111592755,0.67285156,0.7215526
7139,0.043128844,86.07018,162.15598,-0.2943172,9.562317,-0.48634118,-0.022449298,-0.0154243475,0.03176499,-0.24043913,-0.96405685,-0.113063745,0.113614544,0.10556876,0.6742314,0.7220519
7246,0.212062,85.70702,163.27809,-0.2961118,9.579067,-0.506082,-0.022449298,-0.0154243475,0.032375857,-0.2522361,-0.95756376,-0.13945833,0.10784356,0.09755396,0.67309374,0.7251192
7352,0.32843912,85.97301,164.03905,-0.33559337,9.585647,-0.5341976,-0.02367103,-0.020158552,0.028863383,-0.25082952,-0.960087,-0.12376396,0.103495196,0.09258508,0.6755112,0.72415566
7459,0.29943907,85.94575,164.80882,-0.2871387,9.571889,-0.49651068,-0.02367103,-0.012064589,0.02947425,-0.2567356,-0.9574863,-0.13155544,0.09847829,0.08820531,0.67592144,0.7250187
7566,0.3576855,86.07089,165.53497,-0.28115666,9.571889,-0.53300124,-0.02611449,-0.027183503,0.029168814,-0.24493127,-0.9622994,-0.1182731,0.09413432,0.08365417,0.6773047,0.72484416
7672,0.53157806,86.51957,166.73444,-0.3188436,9.596415,-0.5108676,-0.018936822,-0.0206167,0.027641652,-0.24779178,-0.9622736,-0.112377696,0.08727419,0.075800225,0.68110335,0.72300464
7779,0.65776205,86.85005,167.81671,-0.31226337,9.561719,-0.5318048,-0.018478675,-0.013591751,0.028099801,-0.25011545,-0.96206635,-0.1089522,0.08099374,0.06880026,0.6839545,0.7217429
7886,0.6258118,87.123795,168.67833,-0.276371,9.569495,-0.5096712,-0.02657264,-0.016187929,0.029626964,-0.25210527,-0.9627088,-0.0981568,0.0752213,0.06403715,0.68615717,0.7207145
7992,0.7704652,86.908264,169.33926,-0.28055844,9.573683,-0.48275197,-0.025809057,-0.011911872,0.02855795,-0.24707821,-0.96112746,-0.123232976,0.07204001,0.05903193,0.68523735,0.7223401
8099,0.8323486,87.039345,169.67776,-0.31585258,9.593424,-0.5694918,-0.022143863,-0.009010263,0.031306844,-0.25110137,-0.961979,-0.107445724,0.07021077,0.056697194,0.6862675,0.72172904
8206,1.0387977,87.07208,171.67041,-0.30927232,9.588638,-0.5072784,-0.0206167,-0.014813482,0.02855795,-0.24828313,-0.9621253,-0.11256306,0.05887459,0.04346875,0.6874408,0.72254366
8312,1.1284066,87.16407,172.39723,-0.3062813,9.574282,-0.5288138,-0.024281893,-0.016798794,0.033292156,-0.2562882,-0.96079177,-0.10580894,0.05479669,0.03858573,0.6883153,0.7223092
8419,1.2076912,87.409225,173.13976,-0.3391826,9.548558,-0.5270192,-0.02321288,-0.0096211275,0.03344487,-0.25796553,-0.961183,-0.09788242,0.050519,0.033732496,0.69012034,0.7211407
8526,1.3553929,87.58064,173.9163,-0.27696922,9.567103,-0.5174479,-0.024281893,-0.018325957,0.029321533,-0.2516591,-0.9620925,-0.10509836,0.046477474,0.028193587,0.69145095,0.7203753
8632,1.7250702,87.359184,175.14336,-0.3397808,9.567103,-0.5216353,-0.025198191,-0.010995574,0.032375857,-0.24363789,-0.9624694,-0.11955448,0.041025747,0.018381037,0.6903878,0.72204137
8739,1.7453549,87.64753,175.99629,-0.29491538,9.585647,-0.5180461,-0.020922136,-0.016035212,0.030695977,-0.2623159,-0.9589803,-0.1074575,0.035739288,0.013203806,0.69232345,0.72058076
8846,1.9826537,87.668495,177.21957,-0.3164508,9.597611,-0.51505506,-0.018784106,-0.018936822,0.027641652,-0.2395182,-0.96387154,-0.11654498,0.029477034,0.004323969,0.69256973,0.72073543
8952,2.088929,87.44111,177.97781,-0.29491538,9.543175,-0.53001016,-0.019394971,-0.01863139,0.028863383,-0.253966,-0.9580412,-0.13288471,0.025347352,-0.0009780882,0.6911518,0.72226435
9059,2.1201215,87.82366,179.16072,-0.27936202,9.560522,-0.55094737,-0.022602012,-0.014355333,0.027794369,-0.24983968,-0.96080106,-0.120172784,0.018106101,-0.0082488,0.69351095,0.72017133
9166,2.1201215,87.82366,179.16072,-0.28773692,9.580861,-0.535394,-0.023365596,-0.025045475,0.031154126,-0.25719592,-0.9580857,-0.12618247,0.0156298,-0.011094343,0.6934833,0.7202177
9272,2.1581945,87.82553,179.5914,-0.28773692,9.580861,-0.535394,-0.023365596,-0.025045475,0.031154126,-0.25719592,-0.9580857,-0.12618247,0.0156298,-0.011094343,0.6934833,0.7202177
